Blood Group	Gene	Chromosome	Allele Name	Transcript	GRCh37_HGVS	GRCh38_HGVS
RH	RHCE	1	RHCE	NM_020485.8	NC_000001.10	NC_000001.11
RH	RHD	1	RHD	NM_016124.6	NC_000001.10	NC_000001.11
FY	ACKR1	1	FY	NM_002036.4	NC_000001.10	NC_000001.11
SC	ERMAP	1	SC	NM_001017922.2	NC_000001.10	NC_000001.11
CROM	CD55	1	CROM	NM_000574.5	NC_000001.10	NC_000001.11
KN	CR1	1	KN	NM_000573.3	NC_000001.10	NC_000001.11
VEL	SMIM1	1	VEL	NM_001163724.3	NC_000001.10	NC_000001.11
GE	GYPC	2	GE	NM_002101.4	NC_000002.11	NC_000002.12
LAN	ABCB6	2	ABCB6	NM_005689.4	NC_000002.11	NC_000002.12
GLOB	B3GALNT1	3	GLOB	NM_033169.3	NC_000003.11	NC_000003.12
MNS	GYPA	4	GYPA	NM_002099.5	NC_000004.11	NC_000004.12
MNS	GYPB	4	GYPB	NM_002100.5	NC_000004.11	NC_000004.12
JR	ABCG2	4	ABCG2	NM_004827.3	NC_000004.11	NC_000004.12
EMM	PIGG	4	PIGG	NM_001127178.3	NC_000004.11	NC_000004.12
CHRG	C4B	6	C4B	NM_001002029.4	NC_000006.11	NC_000006.12
CHRG	C4A	6	C4A	NM_007293.3	NC_000006.11	NC_000006.12
I	GCNT2	6	GCNT2	NM_145655.4	NC_000006.11	NC_000006.12
RHAG	RHAG	6	RHAG	NM_000324.2	NC_000006.11	NC_000006.12
AUG	SLC29A1	6	AUG	NM_001304463.1	NC_000006.11	NC_000006.12
KEL	KEL	7	KEL	NM_000420.3	NC_000007.13	NC_000007.14
YT	ACHE	7	YT	NM_001302621.1	NC_000007.13	NC_000007.14
CO	AQP1	7	CO	NM_198098.2	NC_000007.13	NC_000007.14
ABO	ABO	9	ABO	NM_020469.2	NC_000009.11	NC_000009.12
GIL	AQP3	9	GIL	NM_004925.4	NC_000009.11	NC_000009.12
FORS	GBGT1	9	GBGT1	NM_021996.5	NC_000009.11	NC_000009.12
IN	CD44	11	IN	NM_000610.4	NC_000011.9	NC_000011.10
RAPH	CD151	11	RAPH	NM_004357.4	NC_000011.9	NC_000011.10
CD59	CD59	11	CD59	NM_203330.2	NC_000011.9	NC_000011.10
DO	ART4	12	DO	NM_021071.4	NC_000012.11	NC_000012.12
PEL	ABCC4	13	ABCC4	NM_005845.5	NC_000013.10	NC_000013.11
JMH	SEMA7A	15	JMH	NM_003612.3	NC_000015.9	NC_000015.10
ABCC1	ABCC1	16	ABCC1	NM_004996.4	NC_000016.9	NC_000016.10
ER	PIEZO1	16	ER	NM_001142864.4	NC_000016.9	NC_000016.10
DI	SLC4A1	17	DI	NM_000342.4	NC_000017.10	NC_000017.11
SID	B4GALNT2	17	SID	NM_153446.3	NC_000017.10	NC_000017.11
JK	SLC14A1	18	JK	NM_015865.7	NC_000018.9	NC_000018.10
LU	BCAM	19	LU	NM_005581.4	NC_000019.9	NC_000019.10
LE	FUT3	19	FUT3	NM_000149.4	NC_000019.9	NC_000019.10
LW	ICAM4	19	LW	NM_001544.4	NC_000019.9	NC_000019.10
H	FUT1	19	FUT1	NM_000148.3	NC_000019.9	NC_000019.10
H	FUT2	19	FUT2	NM_000511.5	NC_000019.9	NC_000019.10
OK	BSG	19	OK	NM_001728.4	NC_000019.9	NC_000019.10
CLT2	SLC44A2	19	CTL2	NM_001145056.2	NC_000019.9	NC_000019.10
MAM	EMP3	19	MAM	NM_001425.3	NC_000019.9	NC_000019.10
KLF1	KLF1	19	KLF1	NM_006563.3	NC_000019.9	NC_000019.10
KANNO	PRNP	20	KANNO	NM_000311.5	NC_000020.10	NC_000020.11
P1PK	A4GALT	22	A4GALT	NM_017436.4	NC_000022.10	NC_000022.11
XG	XG	23	XG	NM_175569.2	NC_000023.10	NC_000023.11
XG	CD99	23	CD99	NM_002414.3	NC_000023.10	NC_000023.11
KX	XK	23	XK	NM_021083.4	NC_000023.10	NC_000023.11
GATA1	GATA1	23	GATA1	NM_002049.3	NC_000023.10	NC_000023.11
